id,primary_name,names_sindarin,names_quenya,names_other_languages,race,ancestors,descendants,spouse,alliances,origin_country,birth_place,birth_time,age,death_place,death_time,death_mode,titles,occupations,battles,era,sources
263,Handir’s Guard,"","","","Man (Edain)","—","—","—","Brethil","Brethil","Brethil","F.A.","—","Brethil","F.A.","slain","Guard","Warrior","—","First Age","Silmarillion"
264,Glóredhel,"","","","Man (Edain)","Hador","—","Húrin","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","dies of grief","Lady","—","—","First Age","Silmarillion"
265,Ilfing,"","","","Man (Edain)","—","—","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","unknown","Warrior","Warrior","—","First Age","Silmarillion"
266,Arminas,"","","","Elf (Noldor)","—","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A.","unknown","Messenger","Scout","Fall of Nargothrond","First Age","Silmarillion"
267,Gwindor’s Brother,"","","","Elf (Noldor)","—","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A.","slain","Warrior","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
268,Edain Warrior of Dor-lómin,"","","","Man (Edain)","—","—","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","slain","Warrior","Warrior","Dagor Bragollach","First Age","Silmarillion"
269,Elf of Nargothrond (Unnamed),"","","","Elf (Noldor)","—","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A.","slain","Warrior","Warrior","Fall of Nargothrond","First Age","Silmarillion"
270,Guard of Menegroth,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Menegroth","F.A.","slain","Guard","Guard","Sack of Doriath","First Age","Silmarillion"
271,Dwarf of Nogrod (Unnamed),"","","","Dwarf","—","—","—","Nogrod","Blue Mountains","Blue Mountains","F.A.","—","Menegroth","F.A.","slain","Warrior","Warrior","Sack of Doriath","First Age","Silmarillion"
272,Dwarf of Belegost (Unnamed),"","","","Dwarf","—","—","—","Belegost","Blue Mountains","Blue Mountains","F.A.","—","Blue Mountains","F.A.","unknown","Warrior","Warrior","War of the Jewels","First Age","Silmarillion"
273,Azaghâl,"","","","Dwarf","—","—","—","Belegost","Blue Mountains","Blue Mountains","F.A.","—","Nirnaeth Arnoediad","F.A. 472","slain","Lord of Belegost","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
274,Telchar,"","","","Dwarf","—","—","—","Nogrod","Blue Mountains","Blue Mountains","F.A.","—","Blue Mountains","F.A.","unknown","Smith","Smith","Forging of Angrist","First Age","Silmarillion"
275,Mahtan,"","","","Elf (Noldor)","—","Nerdanel","—","Noldor","Valinor","Valinor","Y.T.","—","Valinor","Y.T.","unknown","Smith","Smith","—","First Age","Silmarillion"
276,Nerdanel,"","","","Elf (Noldor)","Mahtan","Seven Sons of Fëanor","Fëanor","Noldor","Valinor","Valinor","Y.T.","—","Valinor","Y.T.","unknown","Lady","Sculptor","—","First Age","Silmarillion"
277,Indis,"","","","Elf (Vanyar)","—","Fingolfin; Finarfin","Finwë","Vanyar","Valinor","Valinor","Y.T.","—","Valinor","Y.T.","unknown","Queen of the Noldor","Lady","—","First Age","Silmarillion"
278,Miriel Serindë,"","","","Elf (Noldor)","—","Fëanor","Finwë","Noldor","Valinor","Valinor","Y.T.","—","Valinor","Y.T.","died of weariness","Queen","Weaver","—","First Age","Silmarillion"
279,Finwë,"","","","Elf (Noldor)","—","Fëanor; Fingolfin; Finarfin","Míriel; Indis","Noldor","Valinor","Valinor","Y.T.","—","Formenos","Y.T.","slain by Morgoth","High King of the Noldor","King","Darkening of Valinor","First Age","Silmarillion"
280,Finarfin,"","","","Elf (Noldor)","Finwë; Indis","Finrod; Angrod; Aegnor; Galadriel","Eärwen","Noldor","Valinor","Valinor","Y.T.","—","Valinor","Fourth Age","natural causes","High King of the Noldor (in Valinor)","King","Rebellion of the Noldor (refused)","First/Fourth Age","Silmarillion"
281,Fingon’s Herald,"","","","Elf (Noldor)","—","—","—","Noldor","Valinor","Valinor","Y.T.","—","Anfauglith","F.A. 456","slain","Herald","Messenger","Dagor Bragollach","First Age","Silmarillion"
282,Herald of Turgon,"","","","Elf (Noldor)","—","—","—","Gondolin","Beleriand","Gondolin","F.A.","—","Gondolin","F.A. 510","slain","Herald","Messenger","Fall of Gondolin","First Age","Silmarillion"
283,Watcher in the Water,"","","","Unknown (monster)","—","—","—","Moria","Moria","Black Lake","T.A.","—","Moria","T.A.","unknown","Guardian","Beast","Attack at West-gate","Third Age","LOTR"
284,Great Goblin,"","","","Orc","—","—","—","Misty Mountains","Misty Mountains","Goblin-town","T.A.","—","Goblin-town","T.A. 2941","slain by Gandalf","Goblin-king","Warlord","Capture of Thorin’s Company","Third Age","Hobbit"
285,Goblin Scribe,"","","","Orc","—","—","—","Misty Mountains","Misty Mountains","Goblin-town","T.A.","—","Goblin-town","T.A.","slain","Scribe","Servant","—","Third Age","Hobbit"
286,Goblin Captain,"","","","Orc","—","—","—","Misty Mountains","Misty Mountains","Goblin-town","T.A.","—","Goblin-town","T.A.","slain","Captain","Warrior","—","Third Age","Hobbit"
287,Azog’s Lieutenant,"","","","Orc","—","—","—","Moria","Moria","Moria","T.A.","—","Moria","T.A.","slain","Lieutenant","Warrior","War of the Dwarves and Orcs","Third Age","Appendices"
288,Orc of Cirith Ungol,"","","","Orc","—","—","—","Mordor","Mordor","Cirith Ungol","T.A.","—","Cirith Ungol","T.A.","slain","Guard","Warrior","War of the Ring","Third Age","LOTR"
289,Orc of Minas Morgul,"","","","Orc","—","—","—","Mordor","Mordor","Minas Morgul","T.A.","—","Minas Morgul","T.A.","slain","Soldier","Warrior","War of the Ring","Third Age","LOTR"
290,Orc of Barad-dûr,"","","","Orc","—","—","—","Mordor","Mordor","Barad-dûr","T.A.","—","Barad-dûr","T.A.","slain","Soldier","Warrior","War of the Ring","Third Age","LOTR"
291,Haradrim Captain,"","","","Man (Harad)","—","—","—","Harad","Harad","Harad","T.A.","—","Pelennor Fields","T.A. 3019","slain","Captain","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
292,Haradrim Chieftain,"","","","Man (Harad)","—","—","—","Harad","Harad","Harad","T.A.","—","Gondor","T.A.","slain","Chieftain","Warrior","War of the Ring","Third Age","LOTR"
293,Southron Standard-Bearer,"","","","Man (Harad)","—","—","—","Harad","Harad","Harad","T.A.","—","Pelennor Fields","T.A. 3019","slain","Standard-bearer","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
294,Easterling Captain,"","","","Man (Easterling)","—","—","—","Rhûn","Rhûn","Rhûn","T.A.","—","Morannon","T.A. 3019","slain","Captain","Warrior","Battle of the Morannon","Third Age","LOTR"
295,Easterling Warrior,"","","","Man (Easterling)","—","—","—","Rhûn","Rhûn","Rhûn","T.A.","—","Gondor","T.A.","slain","Warrior","Warrior","War of the Ring","Third Age","LOTR"
296,Khamûl the Easterling,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Rhûn","Rhûn","S.A.","—","Mordor","T.A. 3019","banished","Second of the Nine","Wraith","War of the Ring","Second/Third Age","LOTR; UT"
297,Witch-king of Angmar,"Lord of the Nazgûl","","","Nazgûl (Ringwraith)","—","—","—","Mordor; Angmar","Númenor?","Unknown","S.A.","—","Pelennor Fields","T.A. 3019","slain by Éowyn and Merry","Lord of the Nazgûl","Wraith","Battle of the Pelennor Fields","Second/Third Age","LOTR"
298,Adûnaphel,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Númenor","Númenor","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
299,Dwar of Waw,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
300,Hoarmûrath of Dir,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
301,Ren the Unclean,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
302,Akhorahil,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
303,Indûr Dawndeath,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
304,Ji Indur Mûmaskil,"","","","Nazgûl (Ringwraith)","—","—","—","Mordor","Unknown","Unknown","S.A.","—","Mordor","T.A. 3019","banished","Ringwraith","Wraith","War of the Ring","Second/Third Age","LOTR (expanded lore)"
305,Orc of Gorgoroth,"","","","Orc","—","—","—","Mordor","Mordor","Gorgoroth","T.A.","—","Gorgoroth","T.A.","slain","Soldier","Warrior","War of the Ring","Third Age","LOTR"
306,Orc of Udûn,"","","","Orc","—","—","—","Mordor","Mordor","Udûn","T.A.","—","Udûn","T.A.","slain","Soldier","Warrior","War of the Ring","Third Age","LOTR"
307,Orc of Dol Guldur,"","","","Orc","—","—","—","Dol Guldur","Mirkwood","Dol Guldur","T.A.","—","Dol Guldur","T.A.","slain","Soldier","Warrior","War of the Ring","Third Age","LOTR"
308,Orc of Isengard,"","","","Orc","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Isengard","T.A.","slain","Soldier","Warrior","Battle of Helm’s Deep","Third Age","LOTR"
309,Uruk-hai Berserker,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Helm’s Deep","T.A. 3019","slain","Berserker","Warrior","Battle of Helm’s Deep","Third Age","LOTR"
310,Uruk-hai Scout,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A.","slain","Scout","Warrior","War of the Ring","Third Age","LOTR"
311,Sharku’s Warg,"","","","Warg","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A.","slain","Mount","Beast","Battle of Helm’s Deep","Third Age","LOTR"
312,Warg of the Misty Mountains,"","","","Warg","—","—","—","Misty Mountains","Misty Mountains","Misty Mountains","T.A.","—","Misty Mountains","T.A.","slain","Beast","Beast","—","Third Age","Hobbit"
313,Great Eagle (Gwaihir),"","","","Eagle (Maiar-servant)","—","—","—","Eagles","Misty Mountains","Misty Mountains","T.A.","—","Middle-earth","Fourth Age","unknown","Lord of the Eagles","Rescuer","War of the Ring","Third/Fourth Age","LOTR"
314,Landroval,"","","","Eagle","—","—","—","Eagles","Misty Mountains","Misty Mountains","T.A.","—","Middle-earth","Fourth Age","unknown","Eagle","Rescuer","War of the Ring","Third/Fourth Age","LOTR"
315,Meneldor,"","","","Eagle","—","—","—","Eagles","Misty Mountains","Misty Mountains","T.A.","—","Middle-earth","Fourth Age","unknown","Eagle","Rescuer","War of the Ring","Third/Fourth Age","LOTR"
316,Shadowfax,"","","","Horse (Mearas)","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","Fourth Age","natural causes","Lord of the Mearas","Steed","War of the Ring","Third/Fourth Age","LOTR"
317,Hasufel,"","","","Horse","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","Steed","Steed","War of the Ring","Third Age","LOTR"
318,Arod,"","","","Horse","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","Steed","Steed","War of the Ring","Third Age","LOTR"
319,Brego (Horse),"","","","Horse","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","Steed","Steed","War of the Ring","Third Age","Film-only"
320,Bill the Pony,"","","","Pony","—","—","—","The Shire","The Shire","Bree","T.A.","—","The Shire","Fourth Age","natural causes","Pack-pony","Companion","Journey of the Fellowship","Third/Fourth Age","LOTR"
321,Bill Ferny,"","","","Man","—","—","—","Bree","Bree","Bree","T.A.","—","Bree","T.A. 3019","fled; unknown fate","Spy","Criminal","War of the Ring","Third Age","LOTR"
322,Harry Goatleaf,"","","","Man","—","—","—","Bree","Bree","Bree","T.A.","—","Bree","T.A. 3019","unknown","Gatekeeper","Guard","War of the Ring","Third Age","LOTR"
323,Old Man Willow,"","","","Tree-spirit","—","—","—","Old Forest","Old Forest","Old Forest","First Age?","—","Old Forest","Fourth Age","unknown","Tree-spirit","Enchanter","Old Forest incident","All Ages","LOTR"
324,Barrow-wight,"","","","Wight (undead)","—","—","—","Barrow-downs","Eriador","Barrow-downs","First Age?","—","Barrow-downs","T.A. 3018","banished by Tom Bombadil","Wight","Undead","Barrow-downs encounter","All Ages","LOTR"
325,Tom Cotton,"Farmer Cotton","","","Hobbit","—","Rosie Cotton","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Farmer","Leader","Scouring of the Shire","Third/Fourth Age","LOTR"
326,Young Tom Cotton,"","","","Hobbit","Tom Cotton","—","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","Fighter","Scouring of the Shire","Third/Fourth Age","LOTR"
327,Nick Cotton,"","","","Hobbit","Tom Cotton","—","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","Fighter","Scouring of the Shire","Third/Fourth Age","LOTR"
328,Nibs Cotton,"","","","Hobbit","Tom Cotton","—","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","Fighter","Scouring of the Shire","Third/Fourth Age","LOTR"
329,Farmer Cotton’s Wife,"","","","Hobbit","—","Rosie Cotton","Tom Cotton","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","—","—","Third/Fourth Age","LOTR"
330,Shire Ruffian Captain,"","","","Man","—","—","—","The Shire","Unknown","Unknown","T.A.","—","The Shire","T.A. 3019","slain","Captain","Thug","Scouring of the Shire","Third Age","LOTR"
331,Shire Ruffian,"","","","Man","—","—","—","The Shire","Unknown","Unknown","T.A.","—","The Shire","T.A. 3019","slain","Thug","Thug","Scouring of the Shire","Third Age","LOTR"
332,Chief’s Men (Lotho’s Men),"","","","Man","—","—","—","The Shire","Unknown","Unknown","T.A.","—","The Shire","T.A. 3019","various fates","Thugs","Enforcers","Scouring of the Shire","Third Age","LOTR"
333,Gatekeeper of Hobbiton,"","","","Hobbit","—","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","unknown","Gatekeeper","Gatekeeper","—","Third Age","LOTR"
334,Mayor Will Whitfoot,"Flourdumpling","","","Hobbit","—","—","—","The Shire","The Shire","Michel Delving","T.A.","—","The Shire","Fourth Age","natural causes","Mayor of the Shire","Mayor","Scouring of the Shire","Third/Fourth Age","LOTR"
335,Shirriffs of the Shire,"","","","Hobbit","—","—","—","The Shire","The Shire","The Shire","T.A.","—","The Shire","Fourth Age","various","Shirriff","Guard","—","Third/Fourth Age","LOTR"
336,Mathom-house Keeper,"","","","Hobbit","—","—","—","The Shire","The Shire","Michel Delving","T.A.","—","The Shire","Fourth Age","unknown","Keeper","Curator","—","Third/Fourth Age","LOTR"
337,Bounder of the Shire,"","","","Hobbit","—","—","—","The Shire","The Shire","The Shire","T.A.","—","The Shire","Fourth Age","unknown","Bounder","Patrol","—","Third/Fourth Age","LOTR"
338,Old Noakes,"","","","Hobbit","—","—","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","Villager","—","Third/Fourth Age","LOTR"
339,Daddy Twofoot,"","","","Hobbit","—","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","Fourth Age","natural causes","Hobbit","Neighbor","—","Third/Fourth Age","LOTR"
340,Holman Greenhand,"","","","Hobbit","—","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","natural causes","Gardener","Gardener","—","Third Age","LOTR"
341,Holman Cotton,"","","","Hobbit","—","—","—","The Shire","The Shire","Bywater","T.A.","—","The Shire","T.A.","natural causes","Hobbit","Farmer","—","Third Age","LOTR"
342,Rowan Greenhand,"","","","Hobbit","Holman Greenhand","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","natural causes","Gardener","Gardener","—","Third Age","LOTR"
343,Halfred Greenhand,"","","","Hobbit","Holman Greenhand","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","natural causes","Gardener","Gardener","—","Third Age","LOTR"
344,Holman the Greenhanded,"","","","Hobbit","—","Holman Greenhand","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","natural causes","Gardener","Gardener","—","Third Age","LOTR"
345,Mat Heathertoes,"","","","Hobbit","—","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","unknown","Hobbit","Villager","—","Third Age","LOTR"
346,Old Gammer,"","","","Hobbit","—","—","—","The Shire","The Shire","Hobbiton","T.A.","—","The Shire","T.A.","natural causes","Hobbit","Villager","—","Third Age","LOTR"
347,Butterbur Senior,"","","","Man","—","Barliman Butterbur","—","Bree","Bree","Bree","T.A.","—","Bree","T.A.","natural causes","Innkeeper","Innkeeper","—","Third Age","LOTR"
348,Barrow-downs Spirit,"","","","Wight (undead)","—","—","—","Barrow-downs","Eriador","Barrow-downs","First Age?","—","Barrow-downs","T.A.","banished","Wight","Undead","Barrow-downs encounter","All Ages","LOTR"
349,Gatekeeper of Bree,"","","","Man","—","—","—","Bree","Bree","Bree","T.A.","—","Bree","T.A.","unknown","Gatekeeper","Guard","—","Third Age","LOTR"
350,Mayor of Bree,"","","","Man","—","—","—","Bree","Bree","Bree","T.A.","—","Bree","T.A.","unknown","Mayor","Leader","—","Third Age","LOTR"
351,Butterbur’s Assistant,"","","","Man","—","—","—","Bree","Bree","Bree","T.A.","—","Bree","T.A.","unknown","Inn-servant","Servant","—","Third Age","LOTR"
352,Watcher of Sarn Ford,"","","","Man (Dúnedain)","—","—","—","Dúnedain","Eriador","Sarn Ford","T.A.","—","Sarn Ford","T.A. 3018","slain","Ranger","Scout","War of the Ring","Third Age","LOTR"
353,Ranger of the North,"","","","Man (Dúnedain)","—","—","—","Dúnedain","Arnor","Arnor","T.A.","—","Arnor","T.A.","various","Ranger","Scout","War of the Ring","Third Age","LOTR"
354,Guard of the Citadel,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","various","Guard","Soldier","Siege of Gondor","Third Age","LOTR"
355,Porter of Minas Tirith,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","unknown","Porter","Servant","—","Third Age","LOTR"
356,Healer of the Houses of Healing,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","unknown","Healer","Healer","Battle of the Pelennor Fields","Third Age","LOTR"
357,Herb-master of Gondor,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","unknown","Herb-master","Healer","War of the Ring","Third Age","LOTR"
358,Messenger of Gondor,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","unknown","Messenger","Courier","War of the Ring","Third Age","LOTR"
359,Stablemaster of Minas Tirith,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A.","unknown","Stablemaster","Servant","—","Third Age","LOTR"
360,Guard of Osgiliath,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Osgiliath","T.A.","—","Osgiliath","T.A.","slain","Soldier","Warrior","Battle of Osgiliath","Third Age","LOTR"
361,Osgiliath Boatman,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Osgiliath","T.A.","—","Osgiliath","T.A.","slain","Boatman","Soldier","Battle of Osgiliath","Third Age","LOTR"
362,Anórien Woodsman,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Anórien","T.A.","—","Anórien","T.A.","unknown","Woodsman","Scout","War of the Ring","Third Age","LOTR"
363,Lossarnach Axeman,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Lossarnach","T.A.","—","Pelennor Fields","T.A. 3019","slain","Axeman","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
364,Pinnath Gelin Rider,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Pinnath Gelin","T.A.","—","Pelennor Fields","T.A. 3019","slain","Rider","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
365,Blackroot Vale Archer,"","","","Man (Gondor)","—","—","—","Gondor","Gondor","Blackroot Vale","T.A.","—","Pelennor Fields","T.A. 3019","slain","Archer","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
366,Harad Mumak Rider,"","","","Man (Harad)","—","—","—","Harad","Harad","Harad","T.A.","—","Pelennor Fields","T.A. 3019","slain","Rider","Warrior","Battle of the Pelennor Fields","Third Age","LOTR"
367,Harad Mumak Mahout,"","","","Man (Harad)","—","—","—","Harad","Harad","Harad","T.A.","—","Pelennor Fields","T.A. 3019","slain","Mahout","Driver","Battle of the Pelennor Fields","Third Age","LOTR"
368,Umbar Corsair Captain,"","","","Man (Corsair)","—","—","—","Umbar","Umbar","Umbar","T.A.","—","Pelargir","T.A. 3019","slain","Captain","Pirate","Battle of Pelargir","Third Age","LOTR"
369,Umbar Corsair,"","","","Man (Corsair)","—","—","—","Umbar","Umbar","Umbar","T.A.","—","Pelargir","T.A. 3019","slain","Sailor","Pirate","Battle of Pelargir","Third Age","LOTR"
370,Dead Men of Dunharrow,"","","","Oathbreaker (Undead)","—","—","—","Dunharrow","White Mountains","White Mountains","Second Age","—","Pelargir","T.A. 3019","released","Oathbreaker","Warrior","War of the Ring","Second/Third Age","LOTR"
371,King of the Dead,"","","","Oathbreaker (Undead)","—","—","—","Dunharrow","White Mountains","White Mountains","Second Age","—","Pelargir","T.A. 3019","released","King","Oathbreaker","Paths of the Dead","Second/Third Age","LOTR"
372,Stone-giant of the Misty Mountains,"","","","Giant","—","—","—","Misty Mountains","Misty Mountains","Misty Mountains","T.A.","—","Misty Mountains","T.A.","unknown","Giant","Beast","Thunder-battle","Third Age","Hobbit"
373,Troll of Mordor,"","","","Troll","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Morannon","T.A. 3019","slain","Troll","Warrior","Battle of the Morannon","Third Age","LOTR"
374,Olog-hai Troll,"","","","Troll (Olog-hai)","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Morannon","T.A. 3019","slain","Troll","Warrior","Battle of the Morannon","Third Age","LOTR"
375,Cave Troll of Moria,"","","","Troll","—","—","—","Moria","Moria","Moria","T.A.","—","Moria","T.A. 3019","slain","Troll","Beast","Chamber of Mazarbul","Third Age","LOTR"
376,Stone Troll (from The Hobbit),"","","","Troll","—","—","—","Eriador","Eriador","Trollshaws","T.A.","—","Trollshaws","T.A.","turned to stone","Troll","Beast","Encounter with Bilbo","Third Age","Hobbit"
377,William (Troll),"","","","Troll","—","—","—","Eriador","Eriador","Trollshaws","T.A.","—","Trollshaws","T.A.","turned to stone","Troll","Beast","Encounter with Bilbo","Third Age","Hobbit"
378,Tom (Troll),"","","","Troll","—","—","—","Eriador","Eriador","Trollshaws","T.A.","—","Trollshaws","T.A.","turned to stone","Troll","Beast","Encounter with Bilbo","Third Age","Hobbit"
379,Bert (Troll),"","","","Troll","—","—","—","Eriador","Eriador","Trollshaws","T.A.","—","Trollshaws","T.A.","turned to stone","Troll","Beast","Encounter with Bilbo","Third Age","Hobbit"
380,Watcher’s Tentacle,"","","","Monster","—","—","—","Moria","Moria","Black Lake","T.A.","—","Moria","T.A.","slain","Tentacle","Beast","Attack at West-gate","Third Age","LOTR"
381,Mountain Troll of Mordor,"","","","Troll","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Morannon","T.A. 3019","slain","Troll","Warrior","Battle of the Morannon","Third Age","LOTR"
382,Black Númenórean Captain,"","","","Man (Black Númenórean)","—","—","—","Mordor","Umbar","Umbar","T.A.","—","Gondor","T.A.","slain","Captain","Warrior","War of the Ring","Third Age","LOTR"
383,Black Númenórean Sorcerer,"","","","Man (Black Númenórean)","—","—","—","Mordor","Umbar","Umbar","T.A.","—","Mordor","T.A.","unknown","Sorcerer","Servant of Sauron","Second/Third Age","LOTR (expanded lore)"
384,Orc Drummer of Mordor,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Morannon","T.A. 3019","slain","Drummer","Servant","Battle of the Morannon","Third Age","LOTR"
385,Orc Horn-blower,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Gorgoroth","T.A.","slain","Horn-blower","Servant","War of the Ring","Third Age","LOTR"
386,Orc Taskmaster,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Taskmaster","Overseer","War of the Ring","Third Age","LOTR"
387,Orc Overseer of Barad-dûr,"","","","Orc","—","—","—","Mordor","Mordor","Barad-dûr","T.A.","—","Barad-dûr","T.A.","slain","Overseer","Servant","War of the Ring","Third Age","LOTR"
388,Orc Smith of Mordor,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Smith","Servant","Forging of Mordor arms","Third Age","LOTR"
389,Orc Cook of Cirith Ungol,"","","","Orc","—","—","—","Mordor","Mordor","Cirith Ungol","T.A.","—","Cirith Ungol","T.A.","slain","Cook","Servant","War of the Ring","Third Age","LOTR"
390,Orc Torturer of Barad-dûr,"","","","Orc","—","—","—","Mordor","Mordor","Barad-dûr","T.A.","—","Barad-dûr","T.A.","slain","Torturer","Servant","War of the Ring","Third Age","LOTR"
391,Snaga (generic),"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Mordor","T.A.","slain","Orc","Servant","War of the Ring","Third Age","LOTR"
392,Snaga of Isengard,"","","","Orc","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A.","slain","Orc","Servant","War of the Ring","Third Age","LOTR"
393,Snaga of Cirith Ungol,"","","","Orc","—","—","—","Mordor","Mordor","Cirith Ungol","T.A.","—","Cirith Ungol","T.A.","slain","Orc","Servant","War of the Ring","Third Age","LOTR"
394,Uruk-hai Captain of Isengard,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A.","slain","Captain","Warrior","War of the Ring","Third Age","LOTR"
395,Uruk-hai Archer,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A.","slain","Archer","Warrior","War of the Ring","Third Age","LOTR"
396,Uruk-hai Pikeman,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Helm’s Deep","T.A. 3019","slain","Pikeman","Warrior","Battle of Helm’s Deep","Third Age","LOTR"
397,Uruk-hai Sapper,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Helm’s Deep","T.A. 3019","slain","Sapper","Demolition","Battle of Helm’s Deep","Third Age","LOTR"
398,Isengard Dunlending Warrior,"","","","Man (Dunlending)","—","—","—","Dunland","Dunland","Dunland","T.A.","—","Rohan","T.A. 3019","slain","Warrior","Raider","Battle of Helm’s Deep","Third Age","LOTR"
